date,CO,NO2,SO2
2025-08-14,0.0314793046563863,1.98641734338e-05,
2025-08-15,0.0286345228552818,1.22439083535e-05,
2025-08-16,0.0308433063328266,3.34316537191e-05,
2025-08-17,0.0262164995074272,1.72375998772e-05,
2025-08-18,0.0248678503558039,,
2025-08-19,0.0387608654797077,,
2025-08-20,0.0248457960163553,9.6176393829e-06,
2025-08-22,0.0248290915042161,1.51857063125e-05,
2025-08-23,0.0299037098884582,9.6963839872e-06,
2025-08-24,0.0243482850492,1.3812471631e-05,
2025-08-25,0.0298758009448647,7.9071883192e-06,
2025-08-26,,1.82439343916e-05,
2025-08-27,0.032206742092967,,
2025-08-28,0.0229888316243886,6.145048701e-06,
2025-08-29,0.0254896115511655,2.68355943262e-05,
2025-08-30,0.0279994439333677,,
2025-08-31,0.029383722692728,1.42627013701e-05,
2025-09-01,0.0296979276463389,2.6324938517e-05,
2025-09-02,0.02398767011861,1.59814201197e-05,
2025-09-03,0.0236626438175638,1.62329058639e-05,
2025-09-04,0.0270444694906473,1.39558417989e-05,
2025-09-05,0.0288582307597001,-1.366622655041283e-07,
2025-09-06,0.0319907842203974,2.4828508837e-05,
2025-09-07,0.0303995269350707,1.63945584669e-05,
2025-09-08,,1.8134036812e-05,
2025-09-09,0.0232582123329242,,
2025-09-12,0.0321571733802557,2.22062256701e-05,
2025-09-13,0.0294020697474479,1.84489740604e-05,
2025-09-14,0.0285081422577301,1.41190398608e-05,
2025-09-15,0.0275214025750756,,
2025-09-17,0.0245966284225384,,
2025-09-18,0.0284285675734281,,
2025-09-19,0.0291348341852426,9.5169400964e-06,
2025-09-20,0.0261107068508863,8.8010568409e-06,
2025-09-21,0.0265878975391387,2.22753151319e-05,
2025-09-22,0.0272909589111804,2.08640588728e-05,
2025-09-23,0.0319832637906074,2.54204902982e-05,
2025-09-24,0.0369659923017025,3.06089932564e-05,
2025-09-25,0.0227792287866274,6.6086631704e-06,
2025-09-26,0.0290555302053689,2.59845273831e-05,
2025-09-27,,3.92180809285e-05,
2025-09-28,0.0322059675430258,1.43253320554e-05,
2025-10-02,0.0249367449432611,1.4456776095e-05,
2025-10-03,0.0309388954192399,2.37187484041e-05,
2025-10-05,,2.01620860025e-05,
2025-10-06,0.0329371554156144,1.84553129353e-05,
2025-10-07,0.0457466403022408,2.33026864104e-05,
2025-10-08,0.0376566890627145,1.79953306845e-05,
2025-10-09,0.0403951667249202,2.58526567146e-05,
2025-10-10,0.0371721610426902,2.63493069117e-05,
2025-10-11,0.0335377175360918,1.24595446019e-05,
2025-10-12,0.0259088190893332,8.9843658012e-06,
2025-10-14,0.0264933044090867,3.99061464122e-05,
2025-10-15,0.0293125505559146,1.72153704625e-05,
2025-10-16,0.0261705806478858,2.66667002506e-05,
2025-10-17,,4.56254747405e-05,
2025-10-18,,1.91802822276e-05,
2025-10-19,0.0267769498750567,2.6835110475e-05,
2025-10-31,0.0266921762377023,1.12072803707e-05,
2025-11-04,,2.53461657848e-05,
2025-11-05,,3.22544589531e-05,
2025-11-06,,1.65909590577e-05,
2025-11-07,0.0266656950116157,1.53203122863e-05,
2025-11-11,0.0354475826025009,,
2025-11-19,,4.30426909588e-05,
2025-11-20,0.0287204943597316,,
2025-11-21,0.027402203840514,1.39951636507e-05,
2025-11-22,0.0322410687804222,2.70779610218e-05,
2025-11-23,0.0304324515163898,1.72296648391e-05,
2025-11-25,0.0318519733846187,2.67255354629e-05,
2025-11-26,0.0282355938106775,2.78074852152e-05,
2025-11-29,0.0269506918266415,1.72929976542e-05,
2025-12-01,,4.06915023631e-05,
2025-12-02,,2.40462850342e-05,
2025-12-03,,2.04122643481e-05,
2025-12-05,,2.14075006776e-05,
2025-12-07,,2.05384124759e-05,
2025-12-08,,3.63352774002e-05,
2025-12-10,0.0307610612362623,4.50413317594e-05,
2025-12-11,0.0340620446950197,2.17535592431e-05,
2025-12-12,,2.55890167863e-05,
2025-12-13,,1.20118441676e-05,
2025-12-15,,2.15470781768e-05,
2025-12-17,0.0315102227032184,1.5948854525e-05,
2025-12-21,,2.22468206629e-05,
2025-12-22,0.0317409485578537,3.6287207331e-05,
2025-12-23,0.0310343205928802,2.13641421093e-05,
2025-12-24,0.0250978535041213,2.22167959691e-05,
2025-12-25,0.0328967583676179,1.85517092177e-05,
2025-12-28,,1.96711183283e-05,
2025-12-30,,2.50751509156e-05,
2026-01-01,,2.9873506719e-05,
2026-01-03,0.0254227202385664,3.07271438941e-05,
2026-01-08,0.028585260733962,2.78723176355e-05,
2026-01-09,,3.61530624104e-05,
2026-01-19,0.0251358331491549,1.49561877454e-05,
2026-01-20,0.0249156765639781,2.20756837734e-05,
2026-01-21,0.0228776906927426,2.83213048533e-05,
2026-01-24,,6.4978535192e-06,
2026-01-25,0.034116035948197,1.52445798372e-05,
2026-01-26,0.0317882522940635,8.2667562916e-06,
2026-02-12,,,-0.0001716318802209
2026-02-15,,,-0.0001112584662526
2026-02-16,,,0.0002449040475767
2026-02-18,,,-0.000202835391974
2026-02-20,,,-2.86603972199e-05
2026-02-22,,,0.0001341735041933
2026-02-27,,,-0.0001113355156121
2026-02-28,,,-8.2569632165e-05
2026-03-01,,,7.71765350388e-05
2026-03-04,,,-9.68451222433e-05
2026-03-05,,,4.41397217703e-05
2026-03-06,,,-0.0005904058925807
2026-03-08,,,-9.4702008937e-05
2026-03-09,,,3.45867989987e-05
2026-03-10,,,0.0001162175281024
2026-03-11,,,-0.0003181815227435
2026-03-12,,,3.21712736119e-05
2026-03-13,,,1.94025769815e-05
2026-03-14,,,0.0001418023790999
2026-03-15,,,7.9540145634e-06
2026-03-16,,,0.0001426232095885
2026-03-17,,,-0.0001511201771791
2026-03-18,,,0.0003443824243731
2026-03-22,,,-0.0001742442254908
2026-03-23,,,-9.3880856487e-06
2026-03-24,,,-6.13493930359e-05
2026-03-25,,,-4.03347755006e-05
2026-03-26,,,-1.5286647249e-05
2026-03-27,,,2.1740076287e-06
2026-03-29,,,0.0002211804106385
2026-04-02,,,3.98348674934e-05
2026-04-03,,,-3.90998514679e-05
2026-04-06,,,-5.30388097104e-05
2026-04-07,,,0.0004016549210064
2026-04-08,,,-3.33486773342e-05
2026-04-11,,,0.0002330201677978
2026-04-15,,,0.0002067153473035
2026-04-16,,,-0.0001457007456338
2026-04-17,,,0.0001007269631372
2026-04-18,,,-0.0003862839075736
2026-04-20,,,6.17151502713e-05
2026-04-21,,,-0.0002353395102545
2026-04-22,,,0.0001068835044861
2026-04-23,,,0.0001568300455498
2026-04-24,,,-5.35729074423e-05
2026-04-25,,,-0.0001359666144708
2026-04-26,,,-0.0001994563426706
2026-04-30,,,-0.0002744522353168
2026-05-03,,,-0.0002306203532498
2026-05-04,,,-0.0001720813452266
2026-05-06,,,-7.40628893254e-05
2026-05-07,,,5.06096257595e-05
2026-05-08,,,-8.98759456807e-05
2026-05-09,,,0.0002484061405993
2026-05-11,,,-6.37513032415e-05
2026-05-12,,,-2.08516830753e-05
2026-05-13,,,-6.04759370617e-05
2026-05-14,,,0.0006578993052244
2026-05-15,,,0.0003939556918339
2026-05-16,,,-0.0001055316461133
2026-05-18,,,-0.00015667254047
2026-05-19,,,0.0001175762602845
2026-05-20,,,-0.0001340308554063
2026-05-22,,,6.3504163063e-05
2026-05-23,,,2.42576934397e-05
2026-05-24,,,0.0003106974654656
2026-05-25,,,-2.61340992437e-05
2026-05-26,,,8.3995857858e-05
2026-05-27,,,-5.6569272904e-06
2026-05-30,,,9.6565541753e-05
2026-05-31,,,-6.68501258284e-05
2026-06-01,,,-4.35561514677e-05
2026-06-02,,,0.0001080584479495
2026-06-03,,,-9.14360716706e-05
2026-06-04,,,0.0001817831595568
2026-06-05,,,8.51281001814e-05
2026-06-06,,,-1.77008805621e-05
2026-06-07,,,4.72509357981e-05
2026-06-08,,,3.17580791791e-05
2026-06-09,,,-2.54608133521e-05
2026-06-10,,,-0.0008973936783149
2026-06-11,,,-0.0001049992836973
2026-06-13,,,1.3450539881e-06
2026-06-14,,,-3.8954276533e-06
2026-06-15,,,-6.2978053999e-05
2026-06-16,,,0.0001005565203134
2026-06-18,,,1.09710599645e-05
2026-06-19,,,0.0002992546821284
2026-06-20,,,0.0002800756483338
2026-06-21,,,-1.9479650291e-05
2026-06-28,,,5.01817943586e-05
2026-06-29,,,0.0001297378876188
2026-06-30,,,0.0006564718059962
2026-07-01,,,4.7681939273e-06
2026-07-02,,,2.36401465372e-05
2026-07-03,,,3.4862496249e-06
2026-07-04,,,0.0003853199696095
2026-07-05,,,0.0001387757496559
2026-07-07,,,-0.0001651400380069
2026-07-08,,,0.0004532015154836
2026-07-10,,,0.0001485949233028
2026-07-11,,,0.0002509227827734
2026-07-12,,,-0.0002576817954377
2026-07-16,,,7.21335964044e-05
2026-07-17,,,0.0001912197221827
2026-07-18,,,-4.9270188659e-05
2026-07-21,,,-0.0003313616034574
2026-07-22,,,-6.35432904042e-05
2026-07-23,,,-0.0001391904661431
2026-07-24,,,-8.25688312033e-05
2026-07-25,,,9.70926687386e-05
2026-07-26,,,1.43799892005e-05
2026-07-28,,,-0.000281893502688
2026-07-30,,,0.0004138611257076
2026-07-31,,,-0.0001149939052993
2026-08-01,,,2.49270718389e-05
2026-08-02,,,-0.0001739169226008
2026-08-03,,,3.59695950464e-05
2026-08-04,,,-0.000147313970956
2026-08-06,,,-2.10673151741e-05
2026-08-07,,,-2.58423776055e-05
2026-08-08,,,-0.0003073515836149
2026-08-09,,,0.000155370087062
2026-08-10,,,-1.67761051367e-05
